
2016-11-17 09:56:26,914 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:56:27,957 | INFO  | Principal.vb | Insercion Factura con el ID: 9073 - 
2016-11-17 09:56:28,720 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:56:28,758 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:56:28,781 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:56:29,647 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:56:29,679 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:56:29,689 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:56:30,312 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:56:30,481 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:56:30,481 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:56:30,482 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:56:30,951 | INFO  | Principal.vb | Insercion Factura con el ID: 9074 - 
2016-11-17 09:56:31,729 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:56:31,740 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:56:31,768 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:56:32,294 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:56:32,303 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:56:32,312 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:56:33,046 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:56:33,118 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:56:33,118 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:56:33,119 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:56:33,488 | INFO  | Principal.vb | Insercion Factura con el ID: 9075 - 
2016-11-17 09:56:34,309 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:56:34,327 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:56:34,425 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:56:35,126 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:56:35,136 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:56:35,148 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:56:35,814 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:56:35,895 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:56:35,896 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:56:35,897 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:56:36,511 | INFO  | Principal.vb | Insercion Factura con el ID: 9076 - 
2016-11-17 09:56:37,135 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:56:37,147 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:56:37,176 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:56:37,904 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:56:37,913 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:56:37,924 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:56:38,697 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:56:38,903 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:56:38,904 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:56:38,905 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:56:42,363 | INFO  | Principal.vb | Insercion Factura con el ID: 9077 - 
2016-11-17 09:56:45,178 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:56:45,204 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:56:45,231 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:56:46,490 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:56:46,500 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:56:46,514 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:56:47,221 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:56:47,317 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:56:47,318 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:56:47,319 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:56:47,338 | INFO  | Principal.vb | Insercion Factura con el ID: 9078 - 
2016-11-17 09:56:47,630 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:56:47,669 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:56:47,694 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:56:48,397 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:56:48,446 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:56:48,458 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:56:49,071 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:56:49,157 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:56:49,158 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
